,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
0,gGidwUWS05fEVU82Sbl9hETdsx78Fmo2W4-Fjg-5r3Dnnd0Sc8nNGFYQBw,Co0XFCTibDfVeyYGUQwlomdxDoiA68o7JIEl9_Pp5abiaTvkcWzKM8hd,-rNnab55w3q1MtgYevs5YnuOOAyzP4Khr-1RSIaVntpMbz7_usSZI-bmK9zMgNgywrtP1eA6h8A2rw,PWVlaozhoudl,907,1681519897000,52
1,fIlJex7TsSRZPUm_G2lHIPtZf38u_DRRriuczX7uWdlHCK83Jq9fUTrymA,ZJ0Ric_V6DAsEdVZa29-CdEBNiixKIX7WU-Re3PVKp84s2-R9pVBUhuv,lvPNc_P63lTQSD6hPwMuSuleTLy-7lfoNZ2G3XgMLA7RUu6pUtebp2UA5gXdCcjpTFoABKbMr_1vRQ,EMENES,29,1681719395023,69
2,ZWgymnG6DDo8kcgl7g81Q9EC__wjNE9cqNSVXIPZnuPkNMs,P6i7UeWPapZ-0Yh7I8UgCBrJhWwYYNUoVlX0b_sIPEghGA,fq_Fv6oZrdLfnJk1wGw2ommI7e6DlGT-fFDFghuKvU12_T0xNk9PmrQl0B28u_6IZ4edszjK7u79Zw,Chaeha,4659,1681721220606,626
3,iOPwfjsiHYH4BYnhjKvf1ebYMYN8qp2U9yHG5xodkvJY6gI,gZYi0zb-hSCZVAk04SpL9R2Qn704bsQcB2ut-4HOaNUVPBM,TiHl18mcAeMy6uwf0u1lGyw_Hnf5oG5epw8uyoTrRDnpgsD3CposQw4wmioci5Vdq22hK32PCceraA,Josedeodo,3592,1681349321000,455
4,wfSoCP5bszN4jsVuKmMSwFb9ioVU1vW65kozk07wksGVJdg,Ac8_8boUdljvv0x51S4a4hTyYrk9PziWQtEaaqia9WXGCpU,oaOKVDWjukwL8k74uVIydAxR6jXFW_Hp1e8TC-Mh06JOy07KPhgBdpRz_O9IYQalJVwtAtq-gTqpjw,Trickyyy,5022,1681702609485,517
5,cFUM1nhGn8bwZrK5rpGWUvgeMpHiTdwuVA7uBhZcfHl32C0x,F-9VJ5thVOEG67JQfB5fwD0bw-Gg5yRNS_ZjqHuXAwhTiNcou6karsdw,6xJXP9GOuDRRA4lXFYlA0zIVHag9LyroLn-MWdaBzIEr3b299OT_g_fjJT7v-oM2sWYJ05nbZ_ruhQ,Kenvi2,5734,1681613555000,282
6,2W5iiu5rBvaOaID1xAJy4w1b3d9M3EwHXkSHA-ZmTEPAUJQ,LI-EFGwf8XvOoFOtukXCcqxr3Hx4q4hSDkmZVzpVN2IDoA,zjuX5T9LhQcwXavnPTP21AEHpPBvLL09F8zIcVfrn1OWfeQIFaK-y16GTcSbtsh4RGeG_dlHeW9yGA,Blacc Massu,977,1681696496412,838
7,LVHV2G_8fIoOlizrm1mATvDJlFwYfT0wkfVJKJQCqTCLUg4,F8GZiUVUCywBvP-w_l04lbUM03Two5fczTfJmZu1TdQWOA,dVA2JUzMZi6gZNN8SLFl9QAKNOpVQ5oghRZsLXUZNvpIsS21mClCVLlqoX07kNDdZR28xNxtvpHoeA,jimmykoi,3151,1681711965581,527
8,TqCzMx3ebII5WsbJYqDsU264mmMWkdmjiB_hXv02V4B-bicz,PE805Ugkyl3lr9cOmHhb5jh3Q0oL1osoNZWPWfTvVyCwvc0wqhoSIFjh,s7R3KNNZwSJiXVDG5vjftUwATZwJQJbAP2fnQK_9YMwAnbUHxCFQdDbCzs5gFqhmGVHPcYQUY_dLPQ,Miky boy,7,1681614994000,144
9,kW8u0dop8tFFSjZON8SVBIMdzRHWwtHLEuQSn0-O4eW5nbk,0QzSpn0gI9GvWBqCjXR5CQbecNC-lpzULW0wFfpDkV9px7A,mlmcW2ntJX5z8f_FEJGDeElNjUvYVscBDdQPmi0kAZwKaTC9qSWM6GsUgMH-l7VTG2gmFhKzgmsafQ,amphy,5490,1681715771325,772
