,match_id,blue_top,blue_jungle,blue_middle,blue_bottom,blue_support,red_top,red_jungle,red_middle,red_bottom,red_support,blue_win
0,NA1_4627953541,Gangplank,Maokai,Qiyana,Draven,Annie,Jayce,Shaco,Ornn,Caitlyn,Lux,True
1,NA1_4631350037,Renekton,Graves,Neeko,Kaisa,Pyke,Pantheon,JarvanIV,Ivern,Draven,Nautilus,False
2,NA1_4629693295,Jayce,Udyr,Seraphine,Aphelios,Pyke,KSante,Graves,Zoe,Jinx,Thresh,False
3,NA1_4627248951,Jayce,Gragas,Galio,Twitch,Milio,Irelia,Taric,Taliyah,Xayah,Rakan,False
4,NA1_4629255815,Mordekaiser,Belveth,Gragas,Jhin,Karma,Rumble,Kindred,Malzahar,Kaisa,Milio,False
5,NA1_4631416314,Kled,JarvanIV,AurelionSol,Varus,Blitzcrank,Jax,Graves,Chogath,Lux,Rakan,False
6,NA1_4627779701,Malphite,Lulu,Leblanc,MonkeyKing,Yasuo,XinZhao,MissFortune,Milio,Vex,Sylas,False
7,NA1_4626353604,Jax,Gragas,Tristana,Rakan,Varus,Fiora,Nidalee,Irelia,Kalista,Pyke,True
8,NA1_4631898788,Renata,Jayce,Tristana,Jinx,Elise,Malphite,FiddleSticks,Rakan,Ashe,Zed,False
9,NA1_4631480487,Cassiopeia,Udyr,Sett,Xayah,Rakan,Jax,Maokai,Zoe,Ezreal,Galio,True
10,NA1_4621975280,Rumble,Graves,Leblanc,Kaisa,Rakan,Gragas,Ekko,Tristana,Xayah,Rell,False
11,NA1_4629728505,Kennen,MonkeyKing,Zed,Jinx,Milio,Jax,FiddleSticks,Yone,Varus,Rakan,True
12,NA1_4627768155,Camille,Viego,Leblanc,Zeri,Lulu,Urgot,Nocturne,Syndra,Varus,Neeko,False
13,NA1_4625035876,Rumble,Nocturne,Talon,Xayah,Twitch,Teemo,LeeSin,Anivia,Zeri,Lulu,False
14,NA1_4616220660,Jayce,Vi,Leblanc,Xayah,Thresh,Kennen,Gragas,Zed,Zeri,Blitzcrank,True
15,NA1_4618206043,Kennen,Skarner,Tristana,Jinx,Thresh,Vayne,Sejuani,Ahri,Kaisa,Pyke,True
16,NA1_4620435684,Gragas,Kindred,Leblanc,Jinx,Braum,Gnar,JarvanIV,AurelionSol,Draven,Thresh,True
17,NA1_4631693867,Ornn,Vi,Ahri,Draven,Nautilus,Olaf,MonkeyKing,Kennen,Caitlyn,Lux,False
18,NA1_4628279549,Irelia,Viego,Anivia,Tristana,Rakan,Yasuo,Khazix,AurelionSol,Xayah,Alistar,True
19,NA1_4618546478,Pantheon,FiddleSticks,LeeSin,Jinx,Lulu,KSante,Rumble,Sett,Xayah,Rakan,False
20,NA1_4623660835,DrMundo,Graves,Syndra,Samira,Renata,Singed,Udyr,Irelia,Kalista,Thresh,True
21,NA1_4622608219,Jax,Kindred,Zoe,Vayne,Annie,KSante,LeeSin,TwistedFate,Aphelios,Senna,False
22,NA1_4629450521,Olaf,MonkeyKing,Rumble,Lucian,Yuumi,Pyke,Kindred,Ahri,Tristana,Vladimir,False
23,NA1_4621904771,Ornn,Viego,Yone,Veigar,Lux,Sylas,MasterYi,Viktor,Aphelios,Thresh,False
24,NA1_4629346936,Mordekaiser,Khazix,Leblanc,Varus,Leona,Poppy,Ivern,Fiora,Yasuo,Rakan,True
