lyric,artist
cardi b al t mclaran megan thee stallion whores in this house there's some whores in this house there's some whores in this house there's,Cardi B
some whores in this house hol' up i said certified freak seven days a week wetass pussy make that pullout game weak woo ah cardi,Cardi B
b yeah yeah yeah yeah yeah you fuckin' with some wetass pussy bring a bucket and a mop for this wetass pussy give me everything,Cardi B
you got for this wetass pussy cardi b megan thee stallion beat it up nigga catch a charge extra large and extra hard put this,Cardi B
pussy right in your face swipe your nose like a credit card hop on top i wanna ride i do a kegel while it's inside,Cardi B
spit in my mouth look in my eyes this pussy is wet come take a dive tie me up like i'm surprised let's roleplay i'll,Cardi B
wear a disguise i want you to park that big mack truck right in this little garage make it cream make me scream out in,Cardi B
public make a scene i don't cook i don't clean but let me tell you how i got this ring ayy ayy megan thee stallion,Cardi B
gobble me swallow me drip down the side of me yeah quick jump out 'fore you let it get inside of me yeah i tell,Cardi B
him where to put it never tell him where i'm 'bout to be huh i'll run down on him 'fore i have a nigga runnin',Cardi B
me pow pow pow talk your shit bite your lip yeah ask for a car while you ride that dick while you ride that dick,Cardi B
you really ain't never gotta fuck him for a thang yeah he already made his mind up 'fore he came ayy ah now get your,Cardi B
boots and your coat for this wetass pussy ah ah ah he bought a phone just for pictures of this wetass pussy click click click,Cardi B
paid my tuition just to kiss me on this wetass pussy mwah mwah mwah now make it rain if you wanna see some wetass pussy,Cardi B
yeah yeah cardi b megan thee stallion look i need a hard hitter need a deep stroker need a henny drinker need a weed smoker,Cardi B
not a garter snake i need a king cobra with a hook in it hope it lean over he got some money then that's where,Cardi B
i'm headed pussy a just like his credit he got a beard well i'm tryna wet it i let him taste it now he diabetic,Cardi B
i don't wanna spit i wanna gulp i wanna gag i wanna choke i want you to touch that lil' dangly thing that swing in,Cardi B
the back of my throat my head game is fire punani dasani it's goin' in dry and it's comin' out soggy i ride on that,Cardi B
thing like the cops is behind me yeah ah i spit on his mic and now he tryna sign me woo 4 megan thee stallion,Cardi B
your honor i'm a freak bitch handcuffs leashes switch my wig make him feel like he cheatin' put him on his knees give him somethin',Cardi B
to believe in never lost a fight but i'm lookin' for a beatin' ah in the food chain i'm the one that eat ya if,Cardi B
he ate my ass he's a bottomfeeder big d stand for big demeanor i could make ya bust before i ever meet ya if it,Cardi B
don't hang then he can't bang you can't hurt my feelings but i like pain if he fuck me and ask whose is it when,Cardi B
i ride the dick i'ma spell my name ah cardi b yeah yeah yeah yeah you fuckin' with some wetass pussy bring a bucket and,Cardi B
a mop for this wetass pussy give me everything you got for this wetass pussy now from the top make it drop that's some wetass,Cardi B
pussy now get a bucket and a mop that's some wetass pussy i'm talkin' wap wap wap that's some wetass pussy macaroni in a pot,Cardi B
that's some wetass pussy huh al t mclaran there's some whores in this house there's some whores in this house there's some whores in this,Cardi B
house there's some whores in this house there's some whores in this house there's some whores in this house there's some whores in this house,Cardi B
there's some whores in this house there's some whores in this house there's some whores in this house,Cardi B
ksr it's cardi ayy said i'm the shit they can't fuck with me if they wanted to i don't gotta dance said lil' bitch you,Cardi B
can't fuck with me if you wanted to these expensive these is red bottoms these is bloody shoes hit the store i can get 'em,Cardi B
both i don't wanna choose and i'm quick cut a nigga off so don't get comfortable look i don't dance now i make money moves,Cardi B
ayy ayy say i don't gotta dance i make money move if i see you and i don't speak that means i don't fuck with,Cardi B
you i'm a boss you a worker bitch i make bloody moves now she say she gon' do what to who let's find out and,Cardi B
see cardi b you know where i'm at you know where i be you in the club just to party i'm there i get paid,Cardi B
a fee i be in and out them banks so much i know they're tired of me honestly don't give a fuck 'bout who ain't,Cardi B
fond of me dropped two mixtapes in six months what bitch working as hard as me i don't bother with these hoes don't let these,Cardi B
hoes bother me they see pictures they say goals bitch i'm who they tryna be look i might just chill in some bape i might,Cardi B
just chill with your boo i might just feel on your babe my pussy feel like a lake he wanna swim with his face i'm,Cardi B
like okay i'll let him get what he want he buy me yves saint laurent and the new whip when i go fast as a,Cardi B
