,0
0,NA1_4627953541
1,NA1_4631350037
2,NA1_4629693295
3,NA1_4627248951
4,NA1_4629255815
5,NA1_4631416314
6,NA1_4627779701
7,NA1_4626353604
8,NA1_4631898788
9,NA1_4631480487
10,NA1_4621975280
11,NA1_4629728505
12,NA1_4627768155
13,NA1_4625035876
14,NA1_4616220660
15,NA1_4618206043
16,NA1_4620435684
17,NA1_4631693867
18,NA1_4628279549
19,NA1_4618546478
20,NA1_4623660835
21,NA1_4622608219
22,NA1_4629450521
23,NA1_4621904771
24,NA1_4629346936
25,NA1_4613857030
26,NA1_4626929528
27,NA1_4629594247
28,NA1_4623142175
29,NA1_4614639758
30,NA1_4623641313
31,NA1_4631314303
32,NA1_4631297174
33,NA1_4629806385
34,NA1_4621847366
35,NA1_4616899266
36,NA1_4628965018
37,NA1_4631368058
38,NA1_4626337416
39,NA1_4630530144
40,NA1_4620612245
41,NA1_4613379874
42,NA1_4625515079
43,NA1_4628132413
44,NA1_4628833696
45,NA1_4623723883
46,NA1_4622292398
47,NA1_4629125645
48,NA1_4615181666
49,NA1_4621945859
50,NA1_4628375770
51,NA1_4631038197
52,NA1_4629513386
53,NA1_4623207266
54,NA1_4631307585
55,NA1_4626593026
56,NA1_4628758027
57,NA1_4620153626
58,NA1_4629287742
59,NA1_4613493193
60,NA1_4627255136
61,NA1_4628802261
62,NA1_4620847723
63,NA1_4622262186
64,NA1_4613037371
65,NA1_4627764743
66,NA1_4615570960
67,NA1_4628669626
68,NA1_4629414683
69,NA1_4625287289
70,NA1_4630317371
71,NA1_4623680649
72,NA1_4627280661
73,NA1_4621831740
74,NA1_4630288302
75,NA1_4629151565
76,NA1_4629962837
77,NA1_4630661575
78,NA1_4622116784
79,NA1_4621876037
80,NA1_4631571911
81,NA1_4623054085
82,NA1_4631225738
83,NA1_4618811227
84,NA1_4615657646
85,NA1_4624677398
86,NA1_4622204288
87,NA1_4618215481
88,NA1_4618620655
89,NA1_4614678945
90,NA1_4630415763
91,NA1_4630052684
92,NA1_4629687142
93,NA1_4631812393
94,NA1_4627455546
95,NA1_4629774276
96,NA1_4620906331
97,NA1_4628762192
98,NA1_4626385850
99,NA1_4624180435
100,NA1_4620712925
101,NA1_4623251228
102,NA1_4629232210
103,NA1_4624556050
104,NA1_4627205020
105,NA1_4632209462
106,NA1_4622801695
107,NA1_4630540647
108,NA1_4630768435
109,NA1_4626366300
110,NA1_4631139992
111,NA1_4622108573
112,NA1_4627406817
113,NA1_4624357667
114,NA1_4618308824
115,NA1_4613016646
116,NA1_4624606579
117,NA1_4632006035
118,NA1_4618287146
119,NA1_4617350082
120,NA1_4629912429
121,NA1_4622380015
122,NA1_4628018689
123,NA1_4615866600
124,NA1_4627342323
125,NA1_4619056949
126,NA1_4627669891
127,NA1_4617782243
128,NA1_4630244503
129,NA1_4625840880
130,NA1_4606499150
131,NA1_4620920726
132,NA1_4623477769
133,NA1_4621562024
134,NA1_4624937770
135,NA1_4629796178
136,NA1_4626772156
137,NA1_4625047335
138,NA1_4626830480
139,NA1_4629386986
140,NA1_4623677433
141,NA1_4626493636
142,NA1_4617829591
143,NA1_4623892401
144,NA1_4621413120
145,NA1_4612906931
146,NA1_4616899700
147,NA1_4623640602
148,NA1_4621647611
149,NA1_4629640718
150,NA1_4623043086
151,NA1_4620541049
152,NA1_4629798127
153,NA1_4626345561
154,NA1_4631953548
155,NA1_4631815867
156,NA1_4629953677
157,NA1_4622222986
158,NA1_4615313265
159,NA1_4629864159
160,NA1_4623833267
161,NA1_4613302952
162,NA1_4626448497
163,NA1_4617015579
164,NA1_4629051432
165,NA1_4623666232
166,NA1_4628593665
167,NA1_4632142155
168,NA1_4621750351
169,NA1_4624456799
170,NA1_4611926463
171,NA1_4620552697
172,NA1_4619841452
173,NA1_4627065405
174,NA1_4625732144
175,NA1_4631940295
176,NA1_4628459554
177,NA1_4619029555
178,NA1_4625936679
179,NA1_4628570936
180,NA1_4631697361
181,NA1_4631434963
182,NA1_4621874257
183,NA1_4622373565
184,NA1_4625148365
185,NA1_4619369322
186,NA1_4631058547
187,NA1_4622767522
188,NA1_4624377207
189,NA1_4629218515
190,NA1_4630280996
191,NA1_4622321765
192,NA1_4623314117
193,NA1_4613978784
194,NA1_4623684077
195,NA1_4621117628
196,NA1_4626357165
197,NA1_4631248566
198,NA1_4630536032
199,NA1_4628008122
200,NA1_4622145795
201,NA1_4629696558
202,NA1_4620777104
203,NA1_4627371639
204,NA1_4627081209
205,NA1_4631636057
206,NA1_4630459360
207,NA1_4612000550
208,NA1_4630510667
209,NA1_4628050282
210,NA1_4626055168
211,NA1_4620408871
212,NA1_4622679204
213,NA1_4625938876
214,NA1_4628411800
215,NA1_4628461090
216,NA1_4616661409
217,NA1_4628366992
218,NA1_4622047910
219,NA1_4617028796
220,NA1_4609795032
221,NA1_4621852988
222,NA1_4631269583
223,NA1_4631970615
224,NA1_4624190438
225,NA1_4620637210
226,NA1_4629546281
227,NA1_4623924533
228,NA1_4631948463
229,NA1_4631947219
230,NA1_4616977707
231,NA1_4614966203
232,NA1_4630280794
233,NA1_4624046298
234,NA1_4621411740
235,NA1_4623960090
236,NA1_4626735927
